Year,FG%,3P%,2P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SRS,ORtg,DRtg,Attend./G,Win %,Playoff
97-98,0.443,0.3,0.463,0.737,41.7,21.1,8.9,6.0,16.5,22.9,93.3,-1.89,102.8,105.4,15986.0,0.3780487804878049,0
97-98,0.442,0.351,0.455,0.687,41.4,22.4,7.3,5.1,15.5,22.1,93.1,-5.83,100.8,106.9,14767.0,0.3292682926829268,0
97-98,0.468,0.35,0.488,0.688,44.2,22.4,6.3,6.9,16.1,21.1,92.5,3.3,103.8,99.4,19109.0,0.6829268292682927,1
97-98,0.454,0.372,0.466,0.756,40.1,23.1,9.9,5.1,17.3,23.6,92.5,3.06,102.2,99.1,16942.0,0.573170731707317,1
97-98,0.447,0.335,0.471,0.772,41.6,21.8,7.7,3.4,15.2,23.7,91.6,2.74,103.0,100.3,19763.0,0.524390243902439,1
97-98,0.427,0.357,0.442,0.753,40.1,18.7,7.9,5.7,14.4,20.0,91.4,-6.33,100.5,107.2,13023.0,0.2439024390243902,0
97-98,0.429,0.323,0.447,0.726,41.2,20.7,7.9,5.4,15.3,19.7,90.1,-0.53,102.6,103.8,17113.0,0.5,0
97-98,0.417,0.323,0.433,0.772,39.0,18.9,8.1,4.8,16.0,23.6,89.0,-11.74,99.0,112.1,11800.0,0.1341463414634146,0
97-98,0.413,0.272,0.429,0.71,45.9,20.8,7.6,5.5,16.7,22.7,88.3,-9.2,95.8,105.7,12201.0,0.2317073170731707,0
08-09,0.504,0.383,0.537,0.744,41.7,23.2,7.2,5.1,15.7,20.6,109.4,1.62,113.6,111.6,18422.0,0.5609756097560976,0
08-09,0.458,0.373,0.48,0.791,42.0,20.9,7.8,6.4,14.6,22.5,108.6,-3.8,109.5,113.3,18943.0,0.3536585365853658,0
08-09,0.474,0.361,0.505,0.77,43.9,23.3,8.8,5.1,13.5,20.7,106.9,7.11,112.8,104.7,18997.0,0.7926829268292683,1
08-09,0.445,0.36,0.486,0.784,42.1,21.2,7.4,2.5,14.3,20.4,105.2,-2.33,108.1,110.8,19288.0,0.3902439024390244,0
08-09,0.455,0.378,0.48,0.807,43.7,21.6,7.0,5.3,14.5,23.1,105.1,-0.76,108.1,109.2,14182.0,0.4390243902439024,0
08-09,0.47,0.371,0.499,0.76,41.6,22.2,8.7,6.0,15.3,22.9,104.3,3.13,110.4,106.8,17224.0,0.6585365853658537,1
08-09,0.475,0.349,0.5,0.771,41.0,24.7,8.8,4.6,14.8,22.3,103.6,2.31,110.1,107.3,19903.0,0.5853658536585366,1
08-09,0.457,0.381,0.474,0.796,42.1,21.1,7.5,5.5,14.5,20.8,102.2,-0.16,108.4,108.7,21187.0,0.5,1
08-09,0.462,0.35,0.498,0.819,42.7,21.7,7.2,5.2,12.7,19.5,101.7,1.68,110.5,108.4,20042.0,0.6097560975609756,1
08-09,0.457,0.381,0.495,0.715,43.3,19.4,7.0,5.4,13.9,20.3,101.0,6.48,109.2,101.9,17043.0,0.7195121951219512,1
08-09,0.486,0.397,0.51,0.765,42.1,22.7,7.6,4.7,15.6,23.1,100.9,7.44,110.5,102.3,18624.0,0.7560975609756098,1
08-09,0.447,0.368,0.472,0.798,39.1,19.7,6.9,4.3,15.4,23.3,100.6,-8.6,105.5,114.7,12687.0,0.2073170731707317,0
08-09,0.468,0.393,0.495,0.757,42.2,20.3,7.2,5.3,12.7,20.3,100.3,8.68,112.4,102.4,20512.0,0.8048780487804879,1
08-09,0.465,0.383,0.49,0.765,41.7,20.3,6.7,4.9,12.9,20.4,99.4,5.0,113.9,107.8,20524.0,0.6585365853658537,1
08-09,0.445,0.363,0.467,0.78,40.7,22.0,7.4,3.8,14.1,24.2,99.3,-0.88,106.7,107.9,15390.0,0.4146341463414634,0
08-09,0.458,0.372,0.478,0.824,40.4,22.4,6.4,4.8,13.4,19.4,99.0,-2.54,107.0,110.0,18773.0,0.4024390243902439,0
08-09,0.453,0.375,0.48,0.805,43.0,20.3,6.7,4.3,14.1,18.9,98.4,3.73,108.4,104.0,17504.0,0.6463414634146342,1
08-09,0.457,0.357,0.489,0.754,39.5,20.4,7.9,5.5,12.5,20.7,98.3,0.49,107.8,107.6,18263.0,0.524390243902439,1
08-09,0.458,0.366,0.49,0.737,40.0,20.2,7.4,4.6,12.8,19.6,98.1,1.7,109.3,107.6,16748.0,0.573170731707317,1
08-09,0.448,0.376,0.473,0.779,39.8,20.0,6.8,4.8,13.1,22.4,98.1,-2.31,108.3,111.0,15148.0,0.4146341463414634,0
08-09,0.441,0.353,0.467,0.769,41.7,20.4,6.2,3.9,14.2,21.8,97.8,-4.74,106.1,111.4,14513.0,0.2926829268292683,0
08-09,0.459,0.318,0.486,0.745,41.2,20.1,8.0,5.1,14.1,20.1,97.4,0.16,107.9,107.8,15802.0,0.5,1
08-09,0.447,0.346,0.463,0.786,42.6,20.3,7.4,4.5,16.2,20.2,97.0,-6.04,102.9,109.4,18704.0,0.2804878048780488,0
08-09,0.466,0.386,0.492,0.761,41.0,21.2,5.8,4.0,11.7,18.9,97.0,3.36,108.5,104.3,18269.0,0.6585365853658537,1
08-09,0.45,0.33,0.476,0.767,40.1,20.0,7.5,4.5,14.0,20.5,96.1,-6.98,105.4,113.6,16613.0,0.2317073170731707,0
08-09,0.457,0.364,0.487,0.807,39.7,19.6,7.2,4.1,12.5,20.3,95.8,1.41,108.7,107.0,16969.0,0.5975609756097561,1
08-09,0.441,0.354,0.467,0.736,39.8,21.0,7.0,5.9,14.9,20.1,95.1,-8.47,102.3,111.7,16185.0,0.2317073170731707,0
08-09,0.454,0.349,0.475,0.751,41.4,20.6,6.0,4.6,11.9,20.9,94.2,-0.36,107.4,108.0,21877.0,0.4756097560975609,1
08-09,0.454,0.36,0.474,0.756,38.8,17.4,7.5,4.7,15.3,21.7,93.9,-5.23,103.5,109.5,12680.0,0.2926829268292683,0
08-09,0.455,0.366,0.479,0.74,39.7,21.2,7.1,4.8,15.6,21.4,93.6,-1.2,104.7,106.1,14574.0,0.4268292682926829,0
03-04,0.459,0.348,0.488,0.796,45.3,23.9,8.0,5.3,12.2,19.6,105.2,4.86,112.1,107.4,20136.0,0.6341463414634146,1
03-04,0.462,0.401,0.48,0.795,41.2,26.2,8.7,4.0,13.9,19.3,102.8,5.41,110.3,104.9,17317.0,0.6707317073170732,1
03-04,0.454,0.327,0.479,0.693,43.1,23.8,8.3,4.6,13.8,21.1,98.2,4.35,105.5,101.3,18970.0,0.6829268292682927,1
03-04,0.447,0.35,0.467,0.775,42.2,22.8,6.8,4.7,13.5,20.3,98.0,0.42,106.5,105.4,16834.0,0.5,1
03-04,0.443,0.336,0.461,0.767,42.3,21.9,9.1,6.3,15.6,22.0,97.2,1.65,103.9,102.7,17597.0,0.524390243902439,1
03-04,0.446,0.373,0.476,0.765,39.3,21.7,8.1,4.7,14.5,21.8,97.1,0.02,107.3,108.0,15154.0,0.4512195121951219,0
03-04,0.445,0.34,0.471,0.727,41.8,23.4,9.7,6.9,15.0,23.2,96.7,2.95,104.8,102.2,15188.0,0.6097560975609756,1
03-04,0.443,0.346,0.475,0.75,40.1,20.5,9.4,4.0,16.2,22.4,95.3,-1.99,102.1,103.7,16201.0,0.4390243902439024,1
03-04,0.428,0.321,0.448,0.785,43.5,20.2,7.2,4.6,16.4,22.1,94.8,-3.74,103.5,108.5,16143.0,0.3414634146341463,0
03-04,0.462,0.363,0.477,0.781,42.9,23.0,6.8,5.6,12.7,21.1,94.5,5.86,105.9,99.7,17636.0,0.7073170731707317,1
03-04,0.443,0.345,0.465,0.746,40.6,19.3,9.0,4.7,15.2,22.7,94.2,-2.94,101.4,105.5,16351.0,0.3536585365853658,0
03-04,0.429,0.344,0.448,0.737,40.9,19.3,6.7,3.8,13.7,21.3,94.0,-7.25,102.7,110.4,14369.0,0.2560975609756097,0
03-04,0.442,0.334,0.468,0.725,43.1,20.5,7.0,4.7,14.8,20.6,93.3,-0.07,103.0,103.8,16235.0,0.4512195121951219,0
03-04,0.433,0.314,0.448,0.753,45.6,22.0,7.1,6.5,14.8,21.3,92.9,-3.07,101.4,104.2,18288.0,0.4268292682926829,0
03-04,0.433,0.335,0.456,0.776,42.7,20.1,7.6,5.0,16.5,22.3,92.8,-5.0,101.0,106.1,13798.0,0.3414634146341463,0
03-04,0.442,0.364,0.459,0.793,42.6,20.7,7.4,4.8,15.7,23.1,92.0,-1.97,101.7,103.3,19164.0,0.4756097560975609,1
03-04,0.421,0.341,0.44,0.714,42.8,18.7,8.9,5.0,17.5,20.9,91.8,-6.12,98.8,104.8,15741.0,0.3048780487804878,0
03-04,0.42,0.319,0.454,0.751,42.8,20.9,8.6,4.2,15.0,20.9,91.8,-0.72,102.3,102.4,14332.0,0.5,1
03-04,0.442,0.358,0.46,0.681,45.1,20.4,8.1,6.5,14.7,20.3,91.5,7.51,102.2,94.1,18042.0,0.6951219512195121,1
03-04,0.435,0.351,0.457,0.764,41.7,21.6,8.9,5.0,14.4,20.8,91.4,4.93,103.8,97.2,16545.0,0.7439024390243902,1
03-04,0.448,0.346,0.469,0.731,41.7,21.6,7.5,5.4,14.8,19.0,90.7,-0.58,103.7,105.1,16684.0,0.5,0
03-04,0.441,0.336,0.464,0.753,40.7,24.5,8.6,3.9,14.7,21.0,90.3,1.88,100.8,98.0,14952.0,0.573170731707317,1
03-04,0.425,0.357,0.443,0.762,41.5,19.1,7.2,3.8,13.9,22.1,90.3,-0.13,102.2,101.7,15239.0,0.5121951219512195,1
03-04,0.435,0.344,0.452,0.753,42.8,20.8,8.0,7.0,15.1,20.3,90.1,5.04,102.0,95.4,21290.0,0.6585365853658537,1
03-04,0.442,0.366,0.464,0.773,42.6,19.3,6.8,5.4,16.7,21.5,89.8,2.28,100.9,99.0,15629.0,0.5487804878048781,1
03-04,0.414,0.342,0.431,0.725,43.5,21.9,8.0,4.8,16.1,23.3,89.7,-6.69,96.6,103.4,19736.0,0.2804878048780488,0
03-04,0.436,0.321,0.453,0.746,41.2,20.4,7.1,6.0,16.6,25.6,88.7,-0.53,101.9,103.3,19154.0,0.5121951219512195,0
03-04,0.428,0.342,0.445,0.753,40.8,20.0,8.0,4.4,15.9,20.7,88.0,-2.95,99.1,101.9,19223.0,0.4024390243902439,0
03-04,0.418,0.356,0.434,0.75,39.6,19.2,7.4,4.9,14.2,21.3,85.4,-3.42,97.0,100.4,18308.0,0.4024390243902439,0
13-14,0.474,0.352,0.525,0.73,43.0,24.6,8.6,4.8,13.9,21.5,107.9,7.27,112.1,104.8,19212.0,0.6951219512195121,1
13-14,0.472,0.358,0.529,0.712,45.3,21.4,7.6,5.6,16.1,20.4,107.7,5.06,111.0,106.3,18124.0,0.6585365853658537,1
13-14,0.444,0.341,0.478,0.778,44.7,23.9,8.8,3.6,13.9,18.3,106.9,3.1,108.9,106.2,14565.0,0.4878048780487805,0
13-14,0.45,0.372,0.481,0.815,46.4,23.2,5.5,4.7,13.7,19.2,106.7,4.44,111.5,107.4,19747.0,0.6585365853658537,1
13-14,0.471,0.361,0.512,0.806,44.7,21.9,8.3,6.1,15.3,22.7,106.2,6.66,110.5,103.9,18203.0,0.7195121951219512,1
13-14,0.486,0.397,0.517,0.785,43.3,25.2,7.4,5.1,14.4,18.2,105.4,8.0,110.5,102.4,18415.0,0.7560975609756098,1
